date,RSS01_DOSE_Numero1_cumu,RSS02_DOSE_Numero1_cumu,RSS03_DOSE_Numero1_cumu,RSS04_DOSE_Numero1_cumu,RSS05_DOSE_Numero1_cumu,RSS06_DOSE_Numero1_cumu,RSS07_DOSE_Numero1_cumu,RSS08_DOSE_Numero1_cumu,RSS09_DOSE_Numero1_cumu,RSS10_DOSE_Numero1_cumu,RSS11_DOSE_Numero1_cumu,RSS12_DOSE_Numero1_cumu,RSS13_DOSE_Numero1_cumu,RSS14_DOSE_Numero1_cumu,RSS15_DOSE_Numero1_cumu,RSS16_DOSE_Numero1_cumu,RSS17_DOSE_Numero1_cumu,RSS18_DOSE_Numero1_cumu,RSS99_DOSE_Numero1_cumu,RSS01_DOSE_Numero1_jour,RSS02_DOSE_Numero1_jour,RSS03_DOSE_Numero1_jour,RSS04_DOSE_Numero1_jour,RSS05_DOSE_Numero1_jour,RSS06_DOSE_Numero1_jour,RSS07_DOSE_Numero1_jour,RSS08_DOSE_Numero1_jour,RSS09_DOSE_Numero1_jour,RSS10_DOSE_Numero1_jour,RSS11_DOSE_Numero1_jour,RSS12_DOSE_Numero1_jour,RSS13_DOSE_Numero1_jour,RSS14_DOSE_Numero1_jour,RSS15_DOSE_Numero1_jour,RSS16_DOSE_Numero1_jour,RSS17_DOSE_Numero1_jour,RSS18_DOSE_Numero1_jour,RSS99_DOSE_Numero1_jour,RSS01_DOSE_Numero2_cumu,RSS02_DOSE_Numero2_cumu,RSS03_DOSE_Numero2_cumu,RSS04_DOSE_Numero2_cumu,RSS05_DOSE_Numero2_cumu,RSS06_DOSE_Numero2_cumu,RSS07_DOSE_Numero2_cumu,RSS08_DOSE_Numero2_cumu,RSS09_DOSE_Numero2_cumu,RSS10_DOSE_Numero2_cumu,RSS11_DOSE_Numero2_cumu,RSS12_DOSE_Numero2_cumu,RSS13_DOSE_Numero2_cumu,RSS14_DOSE_Numero2_cumu,RSS15_DOSE_Numero2_cumu,RSS16_DOSE_Numero2_cumu,RSS17_DOSE_Numero2_cumu,RSS18_DOSE_Numero2_cumu,RSS99_DOSE_Numero2_cumu,RSS01_DOSE_Numero2_jour,RSS02_DOSE_Numero2_jour,RSS03_DOSE_Numero2_jour,RSS04_DOSE_Numero2_jour,RSS05_DOSE_Numero2_jour,RSS06_DOSE_Numero2_jour,RSS07_DOSE_Numero2_jour,RSS08_DOSE_Numero2_jour,RSS09_DOSE_Numero2_jour,RSS10_DOSE_Numero2_jour,RSS11_DOSE_Numero2_jour,RSS12_DOSE_Numero2_jour,RSS13_DOSE_Numero2_jour,RSS14_DOSE_Numero2_jour,RSS15_DOSE_Numero2_jour,RSS16_DOSE_Numero2_jour,RSS17_DOSE_Numero2_jour,RSS18_DOSE_Numero2_jour,RSS99_DOSE_Numero2_jour,RSS01_DOSES_Total_cumu,RSS02_DOSES_Total_cumu,RSS03_DOSES_Total_cumu,RSS04_DOSES_Total_cumu,RSS05_DOSES_Total_cumu,RSS06_DOSES_Total_cumu,RSS07_DOSES_Total_cumu,RSS08_DOSES_Total_cumu,RSS09_DOSES_Total_cumu,RSS10_DOSES_Total_cumu,RSS11_DOSES_Total_cumu,RSS12_DOSES_Total_cumu,RSS13_DOSES_Total_cumu,RSS14_DOSES_Total_cumu,RSS15_DOSES_Total_cumu,RSS16_DOSES_Total_cumu,RSS17_DOSES_Total_cumu,RSS18_DOSES_Total_cumu,RSS99_DOSES_Total_cumu,RSS01_DOSES_Total_jour,RSS02_DOSES_Total_jour,RSS03_DOSES_Total_jour,RSS04_DOSES_Total_jour,RSS05_DOSES_Total_jour,RSS06_DOSES_Total_jour,RSS07_DOSES_Total_jour,RSS08_DOSES_Total_jour,RSS09_DOSES_Total_jour,RSS10_DOSES_Total_jour,RSS11_DOSES_Total_jour,RSS12_DOSES_Total_jour,RSS13_DOSES_Total_jour,RSS14_DOSES_Total_jour,RSS15_DOSES_Total_jour,RSS16_DOSES_Total_jour,RSS17_DOSES_Total_jour,RSS18_DOSES_Total_jour,RSS99_DOSES_Total_jour
2020-12-14,0.00,0.00,145.00,0.00,0.00,146.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,291.00,0.00,0.00,145.00,0.00,0.00,146.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,291.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,145.00,0.00,0.00,146.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,291.00,0.00,0.00,145.00,0.00,0.00,146.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,291.00
2020-12-15,0.00,0.00,848.00,0.00,0.00,609.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1457.00,0.00,0.00,703.00,0.00,0.00,463.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1166.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,848.00,0.00,0.00,609.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1457.00,0.00,0.00,703.00,0.00,0.00,463.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1166.00
2020-12-16,0.00,0.00,1407.00,0.00,0.00,997.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2405.00,0.00,0.00,559.00,0.00,0.00,388.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,948.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1407.00,0.00,0.00,997.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2405.00,0.00,0.00,559.00,0.00,0.00,388.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,948.00
2020-12-17,0.00,0.00,1936.00,0.00,0.00,1362.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3304.00,0.00,0.00,529.00,0.00,0.00,365.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,899.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1936.00,0.00,0.00,1362.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3304.00,0.00,0.00,529.00,0.00,0.00,365.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,899.00
2020-12-18,0.00,0.00,2469.00,0.00,0.00,1547.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4022.00,0.00,0.00,533.00,0.00,0.00,185.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,718.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2469.00,0.00,0.00,1547.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4022.00,0.00,0.00,533.00,0.00,0.00,185.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,718.00
2020-12-19,0.00,0.00,3072.00,0.00,0.00,1663.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4741.00,0.00,0.00,603.00,0.00,0.00,116.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,719.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3072.00,0.00,0.00,1663.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4741.00,0.00,0.00,603.00,0.00,0.00,116.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,719.00
2020-12-20,0.00,0.00,3072.00,0.00,0.00,1778.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4856.00,0.00,0.00,0.00,0.00,0.00,115.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,115.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3072.00,0.00,0.00,1778.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4856.00,0.00,0.00,0.00,0.00,0.00,115.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,115.00
2020-12-21,0.00,0.00,3072.00,0.00,0.00,2184.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5358.00,0.00,0.00,0.00,0.00,0.00,406.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,502.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3072.00,0.00,0.00,2184.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5358.00,0.00,0.00,0.00,0.00,0.00,406.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,502.00
2020-12-22,0.00,194.00,3246.00,400.00,0.00,2914.00,440.00,0.00,2.00,0.00,0.00,0.00,0.00,131.00,41.00,0.00,0.00,0.00,7376.00,0.00,194.00,174.00,400.00,0.00,730.00,345.00,0.00,2.00,0.00,0.00,0.00,0.00,131.00,41.00,0.00,0.00,0.00,2018.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,194.00,3246.00,400.00,0.00,2914.00,440.00,0.00,2.00,0.00,0.00,0.00,0.00,131.00,41.00,0.00,0.00,0.00,7376.00,0.00,194.00,174.00,400.00,0.00,730.00,345.00,0.00,2.00,0.00,0.00,0.00,0.00,131.00,41.00,0.00,0.00,0.00,2018.00
2020-12-23,0.00,528.00,3286.00,768.00,102.00,3662.00,673.00,0.00,161.00,0.00,120.00,34.00,174.00,412.00,160.00,1044.00,0.00,0.00,11132.00,0.00,334.00,40.00,368.00,102.00,748.00,233.00,0.00,159.00,0.00,120.00,34.00,174.00,281.00,119.00,1044.00,0.00,0.00,3756.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,528.00,3286.00,768.00,102.00,3662.00,673.00,0.00,161.00,0.00,120.00,34.00,174.00,412.00,160.00,1044.00,0.00,0.00,11132.00,0.00,334.00,40.00,368.00,102.00,748.00,233.00,0.00,159.00,0.00,120.00,34.00,174.00,281.00,119.00,1044.00,0.00,0.00,3756.00
2020-12-24,436.00,703.00,3286.00,768.00,305.00,3877.00,801.00,0.00,302.00,0.00,262.00,271.00,314.00,517.00,245.00,2056.00,0.00,0.00,14151.00,436.00,175.00,0.00,0.00,203.00,215.00,128.00,0.00,141.00,0.00,142.00,237.00,140.00,105.00,85.00,1012.00,0.00,0.00,3019.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,436.00,703.00,3286.00,768.00,305.00,3877.00,801.00,0.00,302.00,0.00,262.00,271.00,314.00,517.00,245.00,2056.00,0.00,0.00,14151.00,436.00,175.00,0.00,0.00,203.00,215.00,128.00,0.00,141.00,0.00,142.00,237.00,140.00,105.00,85.00,1012.00,0.00,0.00,3019.00
2020-12-25,436.00,703.00,3286.00,768.00,305.00,3877.00,801.00,0.00,302.00,0.00,262.00,271.00,314.00,517.00,245.00,2056.00,0.00,0.00,14151.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,436.00,703.00,3286.00,768.00,305.00,3877.00,801.00,0.00,302.00,0.00,262.00,271.00,314.00,517.00,245.00,2056.00,0.00,0.00,14151.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-12-26,666.00,1023.00,3286.00,768.00,504.00,4153.00,932.00,136.00,370.00,0.00,262.00,487.00,498.00,692.00,329.00,3159.00,0.00,0.00,17274.00,230.00,320.00,0.00,0.00,199.00,276.00,131.00,136.00,68.00,0.00,0.00,216.00,184.00,175.00,84.00,1103.00,0.00,0.00,3123.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,666.00,1023.00,3286.00,768.00,504.00,4153.00,932.00,136.00,370.00,0.00,262.00,487.00,498.00,692.00,329.00,3159.00,0.00,0.00,17274.00,230.00,320.00,0.00,0.00,199.00,276.00,131.00,136.00,68.00,0.00,0.00,216.00,184.00,175.00,84.00,1103.00,0.00,0.00,3123.00
2020-12-27,867.00,1023.00,3286.00,768.00,709.00,4364.00,932.00,136.00,370.00,0.00,262.00,670.00,625.00,891.00,401.00,4238.00,0.00,0.00,19552.00,201.00,0.00,0.00,0.00,205.00,211.00,0.00,0.00,0.00,0.00,0.00,183.00,127.00,199.00,72.00,1079.00,0.00,0.00,2278.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,867.00,1023.00,3286.00,768.00,709.00,4364.00,932.00,136.00,370.00,0.00,262.00,670.00,625.00,891.00,401.00,4238.00,0.00,0.00,19552.00,201.00,0.00,0.00,0.00,205.00,211.00,0.00,0.00,0.00,0.00,0.00,183.00,127.00,199.00,72.00,1079.00,0.00,0.00,2278.00
2020-12-28,1084.00,1023.00,3475.00,1048.00,709.00,5228.00,1013.00,260.00,370.00,0.00,373.00,770.00,853.00,1101.00,505.00,4238.00,0.00,0.00,22060.00,217.00,0.00,189.00,280.00,0.00,864.00,81.00,124.00,0.00,0.00,111.00,100.00,228.00,210.00,104.00,0.00,0.00,0.00,2508.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1084.00,1023.00,3475.00,1048.00,709.00,5228.00,1013.00,260.00,370.00,0.00,373.00,770.00,853.00,1101.00,505.00,4238.00,0.00,0.00,22060.00,217.00,0.00,189.00,280.00,0.00,864.00,81.00,124.00,0.00,0.00,111.00,100.00,228.00,210.00,104.00,0.00,0.00,0.00,2508.00
2020-12-29,1084.00,1023.00,3799.00,1228.00,884.00,6031.00,1028.00,385.00,473.00,0.00,373.00,770.00,1074.00,1361.00,642.00,4238.00,0.00,0.00,24405.00,0.00,0.00,324.00,180.00,175.00,803.00,15.00,125.00,103.00,0.00,0.00,0.00,221.00,260.00,137.00,0.00,0.00,0.00,2345.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1084.00,1023.00,3799.00,1228.00,884.00,6031.00,1028.00,385.00,473.00,0.00,373.00,770.00,1074.00,1361.00,642.00,4238.00,0.00,0.00,24405.00,0.00,0.00,324.00,180.00,175.00,803.00,15.00,125.00,103.00,0.00,0.00,0.00,221.00,260.00,137.00,0.00,0.00,0.00,2345.00
2020-12-30,1084.00,1023.00,4147.00,1415.00,1058.00,6821.00,1028.00,508.00,473.00,0.00,557.00,999.00,1363.00,1421.00,827.00,4726.00,0.00,0.00,27463.00,0.00,0.00,348.00,187.00,174.00,790.00,0.00,123.00,0.00,0.00,184.00,229.00,289.00,60.00,185.00,488.00,0.00,0.00,3058.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1084.00,1023.00,4147.00,1415.00,1058.00,6821.00,1028.00,508.00,473.00,0.00,557.00,999.00,1363.00,1421.00,827.00,4726.00,0.00,0.00,27463.00,0.00,0.00,348.00,187.00,174.00,790.00,0.00,123.00,0.00,0.00,184.00,229.00,289.00,60.00,185.00,488.00,0.00,0.00,3058.00
2020-12-31,1084.00,1023.00,4147.00,1415.00,1058.00,6872.00,1028.00,508.00,473.00,0.00,557.00,1135.00,1363.00,1426.00,976.00,4726.00,0.00,0.00,27804.00,0.00,0.00,0.00,0.00,0.00,51.00,0.00,0.00,0.00,0.00,0.00,136.00,0.00,5.00,149.00,0.00,0.00,0.00,341.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1084.00,1023.00,4147.00,1415.00,1058.00,6872.00,1028.00,508.00,473.00,0.00,557.00,1135.00,1363.00,1426.00,976.00,4726.00,0.00,0.00,27804.00,0.00,0.00,0.00,0.00,0.00,51.00,0.00,0.00,0.00,0.00,0.00,136.00,0.00,5.00,149.00,0.00,0.00,0.00,341.00
2021-01-01,1084.00,1023.00,4147.00,1415.00,1059.00,6875.00,1028.00,508.00,473.00,0.00,557.00,1135.00,1363.00,1426.00,977.00,4726.00,0.00,0.00,27809.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1084.00,1023.00,4147.00,1415.00,1059.00,6875.00,1028.00,508.00,473.00,0.00,557.00,1135.00,1363.00,1426.00,977.00,4726.00,0.00,0.00,27809.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,5.00
2021-01-02,1084.00,1173.00,4147.00,1415.00,1253.00,6875.00,1028.00,508.00,473.00,0.00,557.00,1136.00,1363.00,1526.00,1153.00,4726.00,0.00,0.00,28431.00,0.00,150.00,0.00,0.00,194.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,100.00,176.00,0.00,0.00,0.00,622.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1084.00,1173.00,4147.00,1415.00,1253.00,6875.00,1028.00,508.00,473.00,0.00,557.00,1136.00,1363.00,1526.00,1153.00,4726.00,0.00,0.00,28431.00,0.00,150.00,0.00,0.00,194.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,100.00,176.00,0.00,0.00,0.00,622.00
2021-01-03,1084.00,1575.00,4468.00,1415.00,1439.00,6876.00,1029.00,508.00,473.00,0.00,557.00,1459.00,1363.00,1641.00,1335.00,4726.00,0.00,0.00,29963.00,0.00,402.00,321.00,0.00,186.00,1.00,1.00,0.00,0.00,0.00,0.00,323.00,0.00,115.00,182.00,0.00,0.00,0.00,1532.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1084.00,1575.00,4468.00,1415.00,1439.00,6876.00,1029.00,508.00,473.00,0.00,557.00,1459.00,1363.00,1641.00,1335.00,4726.00,0.00,0.00,29963.00,0.00,402.00,321.00,0.00,186.00,1.00,1.00,0.00,0.00,0.00,0.00,323.00,0.00,115.00,182.00,0.00,0.00,0.00,1532.00
2021-01-04,1084.00,2261.00,5024.00,1415.00,1439.00,7495.00,1119.00,508.00,473.00,0.00,557.00,1460.00,1579.00,1748.00,1586.00,4942.00,0.00,0.00,32705.00,0.00,686.00,556.00,0.00,0.00,619.00,90.00,0.00,0.00,0.00,0.00,1.00,216.00,107.00,251.00,216.00,0.00,0.00,2742.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1084.00,2261.00,5024.00,1415.00,1439.00,7495.00,1119.00,508.00,473.00,0.00,557.00,1460.00,1579.00,1748.00,1586.00,4942.00,0.00,0.00,32705.00,0.00,686.00,556.00,0.00,0.00,619.00,90.00,0.00,0.00,0.00,0.00,1.00,216.00,107.00,251.00,216.00,0.00,0.00,2742.00
2021-01-05,1084.00,2630.00,6078.00,1780.00,1497.00,9739.00,1245.00,631.00,473.00,0.00,557.00,1461.00,1918.00,1834.00,1919.00,5650.00,0.00,28.00,38617.00,0.00,369.00,1054.00,365.00,58.00,2244.00,126.00,123.00,0.00,0.00,0.00,1.00,339.00,86.00,333.00,708.00,0.00,28.00,5912.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1084.00,2630.00,6078.00,1780.00,1497.00,9739.00,1245.00,631.00,473.00,0.00,557.00,1461.00,1918.00,1834.00,1919.00,5650.00,0.00,28.00,38617.00,0.00,369.00,1054.00,365.00,58.00,2244.00,126.00,123.00,0.00,0.00,0.00,1.00,339.00,86.00,333.00,708.00,0.00,28.00,5912.00
2021-01-06,1084.00,3084.00,7154.00,2299.00,2068.00,12998.00,1742.00,827.00,701.00,22.00,796.00,1820.00,2312.00,2095.00,2332.00,7571.00,0.00,304.00,49303.00,0.00,454.00,1076.00,519.00,571.00,3259.00,497.00,196.00,228.00,22.00,239.00,359.00,394.00,261.00,413.00,1921.00,0.00,276.00,10686.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1084.00,3084.00,7154.00,2299.00,2068.00,12999.00,1742.00,827.00,701.00,22.00,796.00,1820.00,2312.00,2095.00,2332.00,7571.00,0.00,304.00,49304.00,0.00,454.00,1076.00,519.00,571.00,3260.00,497.00,196.00,228.00,22.00,239.00,359.00,394.00,261.00,413.00,1921.00,0.00,276.00,10687.00
